Kommunkod;Skattesats;skatt
"2183";"33,37";33.370
"2184";"33,12";33.120
"2260";"34,62";34.620
"2262";"34,48";34.480
"2280";"34,63";34.630
"2281";"33,88";33.880
"2282";"34,43";34.430
"2283";"34,68";34.680
"2284";"34,00";34.000
"2303";"34,92";34.920
"2305";"35,09";35.090
"2309";"33,87";33.870
"2313";"34,92";34.920
"2321";"33,92";33.920
"2326";"34,22";34.220
"2361";"34,17";34.170
"2380";"33,72";33.720
"2401";"34,60";34.600
"2403";"34,50";34.500
"2404";"34,95";34.950
"2409";"34,50";34.500
"2417";"34,70";34.700
"2418";"34,70";34.700
"2421";"34,45";34.450
"2422";"34,95";34.950
"2425";"35,15";35.150
"2460";"34,70";34.700
"2462";"34,75";34.750
"2463";"34,95";34.950
"2480";"34,15";34.150
"2481";"34,40";34.400
"2482";"33,95";33.950
"2505";"34,14";34.140
"2506";"34,84";34.840
"2510";"34,29";34.290
"2513";"34,14";34.140
"2514";"33,89";33.890
"2518";"33,09";33.090
"2521";"34,74";34.740
"2523";"33,89";33.890
"2560";"33,79";33.790
"2580";"33,84";33.840
"2581";"33,59";33.590
"2582";"33,94";33.940
"2583";"33,84";33.840
"2584";"34,39";34.390
