Kod;Namn;Befolkning;Int_befolkning
"1443";Bollebygd                                         ;"9634";"9634"
"1490";Borås                                             ;"114091";"114091"
"1438";Dals-Ed                                           ;"4756";"4756"
"1445";Essunga                                           ;"5698";"5698"
"1499";Falköping                                         ;"33270";"33270"
"1439";Färgelanda                                        ;"6576";"6576"
"1444";Grästorp                                          ;"5730";"5730"
"1447";Gullspång                                         ;"5206";"5206"
"1480";Göteborg                                          ;"587549";"587549"
"1471";Götene                                            ;"13263";"13263"
"1466";Herrljunga                                        ;"9501";"9501"
"1497";Hjo                                               ;"9233";"9233"
"1401";Härryda                                           ;"39006";"39006"
"1446";Karlsborg                                         ;"6965";"6965"
"1482";Kungälv                                           ;"48271";"48271"
"1441";Lerum                                             ;"43399";"43399"
"1494";Lidköping                                         ;"40460";"40460"
"1462";Lilla Edet                                        ;"14509";"14509"
"1484";Lysekil                                           ;"14266";"14266"
"1493";Mariestad                                         ;"24723";"24723"
"1463";Mark                                              ;"35201";"35201"
"1461";Mellerud                                          ;"9268";"9268"
"1430";Munkedal                                          ;"10588";"10588"
"1481";Mölndal                                           ;"69943";"69943"
"1421";Orust                                             ;"15345";"15345"
"1402";Partille                                          ;"39529";"39529"
"1495";Skara                                             ;"18732";"18732"
"1496";Skövde                                            ;"57016";"57016"
"1427";Sotenäs                                           ;"9125";"9125"
"1415";Stenungsund                                       ;"27556";"27556"
"1486";Strömstad                                         ;"13277";"13277"
"1465";Svenljunga                                        ;"10864";"10864"
"1435";Tanum                                             ;"12965";"12965"
"1472";Tibro                                             ;"11281";"11281"
"1498";Tidaholm                                          ;"12825";"12825"
"1419";Tjörn                                             ;"16312";"16312"
"1452";Tranemo                                           ;"11937";"11937"
"1488";Trollhättan                                       ;"59154";"59154"
"1473";Töreboda                                          ;"9207";"9207"
"1485";Uddevalla                                         ;"57122";"57122"
"1491";Ulricehamn                                        ;"24898";"24898"
"1470";Vara                                              ;"16162";"16162"
"1442";Vårgårda                                          ;"12180";"12180"
"1487";Vänersborg                                        ;"39636";"39636"
"1492";Åmål                                              ;"12318";"12318"
"1407";Öckerö                                            ;"12902";"12902"
"1784";Arvika                                            ;"25854";"25854"
"1730";Eda                                               ;"8490";"8490"
"1782";Filipstad                                         ;"10403";"10403"
"1763";Forshaga                                          ;"11606";"11606"
"1764";Grums                                             ;"9091";"9091"
"1783";Hagfors                                           ;"11553";"11553"
"1761";Hammarö                                           ;"16765";"16765"
"1780";Karlstad                                          ;"95408";"95408"
"1715";Kil                                               ;"12134";"12134"
"1781";Kristinehamn                                      ;"24099";"24099"
"1762";Munkfors                                          ;"3680";"3680"
"1760";Storfors                                          ;"3948";"3948"
"1766";Sunne                                             ;"13355";"13355"
"1785";Säffle                                            ;"15396";"15396"
"1737";Torsby                                            ;"11472";"11472"
"1765";Årjäng                                            ;"9942";"9942"
"1882";Askersund                                         ;"11534";"11534"
"1862";Degerfors                                         ;"9534";"9534"
"1861";Hallsberg                                         ;"16196";"16196"
"1863";Hällefors                                         ;"6849";"6849"
"1883";Karlskoga                                         ;"30437";"30437"
"1881";Kumla                                             ;"22144";"22144"
"1860";Laxå                                              ;"5582";"5582"
"1814";Lekeberg                                          ;"8603";"8603"
"1885";Lindesberg                                        ;"23601";"23601"
"1864";Ljusnarsberg                                      ;"4604";"4604"
"1884";Nora                                              ;"10721";"10721"
"1880";Örebro                                            ;"156987";"156987"
"1984";Arboga                                            ;"14100";"14100"
"1982";Fagersta                                          ;"13319";"13319"
"1961";Hallstahammar                                     ;"16608";"16608"
"1960";Kungsör                                           ;"8787";"8787"
"1983";Köping                                            ;"26133";"26133"
"1962";Norberg                                           ;"5714";"5714"
"1981";Sala                                              ;"22998";"22998"
"1904";Skinnskatteberg                                   ;"4371";"4371"
"1907";Surahammar                                        ;"10099";"10099"
"1980";Västerås                                          ;"156838";"156838"
"2084";Avesta                                            ;"22925";"22925"
"2081";Borlänge                                          ;"52254";"52254"
"2080";Falun                                             ;"59837";"59837"
"2026";Gagnef                                            ;"10502";"10502"
"2083";Hedemora                                          ;"15458";"15458"
"2029";Leksand                                           ;"16012";"16012"
"2085";Ludvika                                           ;"26497";"26497"
"2023";Malung-Sälen                                      ;"10218";"10218"
"2062";Mora                                              ;"20670";"20670"
"2034";Orsa                                              ;"6918";"6918"
"2031";Rättvik                                           ;"11103";"11103"
"2061";Smedjebacken                                      ;"10933";"10933"
"2082";Säter                                             ;"11242";"11242"
"2021";Vansbro                                           ;"6776";"6776"
"2039";Älvdalen                                          ;"7042";"7042"
"2183";Bollnäs                                           ;"26753";"26753"
"2180";Gävle                                             ;"103136";"103136"
"2104";Hofors                                            ;"9578";"9578"
"2184";Hudiksvall                                        ;"37744";"37744"
"2161";Ljusdal                                           ;"18804";"18804"
"2132";Nordanstig                                        ;"9480";"9480"
"2101";Ockelbo                                           ;"5865";"5865"
"2121";Ovanåker                                          ;"11711";"11711"
"2181";Sandviken                                         ;"39250";"39250"
"2182";Söderhamn                                         ;"25446";"25446"
"2280";Härnösand                                         ;"25012";"25012"
"2282";Kramfors                                          ;"18005";"18005"
"2283";Sollefteå                                         ;"18814";"18814"
"2281";Sundsvall                                         ;"99383";"99383"
"2262";Timrå                                             ;"17923";"17923"
"2260";Ånge                                              ;"9233";"9233"
"2284";Örnsköldsvik                                      ;"55823";"55823"
"2326";Berg                                              ;"7135";"7135"
"2305";Bräcke                                            ;"6175";"6175"
"2361";Härjedalen                                        ;"10114";"10114"
"2309";Krokom                                            ;"15352";"15352"
"2303";Ragunda                                           ;"5210";"5210"
"2313";Strömsund                                         ;"11473";"11473"
"2321";Åre                                               ;"12271";"12271"
"2380";Östersund                                         ;"64324";"64324"
"2403";Bjurholm                                          ;"2395";"2395"
"2425";Dorotea                                           ;"2459";"2459"
"2481";Lycksele                                          ;"12264";"12264"
"2418";Malå                                              ;"3034";"3034"
"2401";Nordmaling                                        ;"7100";"7100"
"2417";Norsjö                                            ;"3971";"3971"
"2409";Robertsfors                                       ;"6786";"6786"
"2482";Skellefteå                                        ;"73393";"73393"
"2422";Sorsele                                           ;"2460";"2460"
"2421";Storuman                                          ;"5808";"5808"
"2480";Umeå                                              ;"130997";"130997"
"2462";Vilhelmina                                        ;"6485";"6485"
"2404";Vindeln                                           ;"5550";"5550"
"2460";Vännäs                                            ;"9054";"9054"
"2463";Åsele                                             ;"2807";"2807"
"2506";Arjeplog                                          ;"2707";"2707"
"2505";Arvidsjaur                                        ;"6143";"6143"
"2582";Boden                                             ;"28160";"28160"
"2523";Gällivare                                         ;"17449";"17449"
"2583";Haparanda                                         ;"9496";"9496"
"2510";Jokkmokk                                          ;"4780";"4780"
"2514";Kalix                                             ;"15768";"15768"
"2584";Kiruna                                            ;"22555";"22555"
"2580";Luleå                                             ;"78867";"78867"
"2521";Pajala                                            ;"5973";"5973"
"2581";Piteå                                             ;"42323";"42323"
"2560";Älvsbyn                                           ;"8009";"8009"
"2513";Överkalix                                         ;"3252";"3252"
"2518";Övertorneå                                        ;"4211";"4211"
